adduser	3.118ubuntu5
liblsan0	12.3.0-1ubuntu1~22.04.3
liblsan0-arm64-cross	12.3.0-1ubuntu1~22.04.3cross1
libltdl7	2.4.6-15build2
liblwp-mediatypes-perl	6.04-1
liblwp-protocol-https-perl	6.10-1
liblz4-1	1.9.3-2build2
liblz4-1	1.9.3-2build2
liblz4-tool	1.9.3-2build2
liblzma5	5.2.5-2ubuntu1.1
liblzma5	5.2.5-2ubuntu1.1
liblzo2-2	2.10-2build3
libmagic1	1:5.41-3ubuntu0.1
libmagic-mgc	1:5.41-3ubuntu0.1
libmailtools-perl	2.21-1
libmd0	1.0.4-1build1
libmd0	1.0.4-1build1
libmount1	2.37.2-4ubuntu3.5
libmount1	2.37.2-4ubuntu3.5
libmount-dev	2.37.2-4ubuntu3.5
libmpc3	1.2.1-2build1
libmpdec3	2.5.1-2build2
libmpfr6	4.1.0-3build3
libncurses5	6.3-2ubuntu0.2
libncurses6	6.3-2ubuntu0.2
libncurses-dev	6.3-2ubuntu0.2
libncursesw6	6.3-2ubuntu0.2
libnet-http-perl	6.22-1
libnet-smtp-ssl-perl	1.04-1
libnet-ssleay-perl	1.92-1build2
libnettle8	3.7.3-1build2
libnettle8	3.7.3-1build2
libnghttp2-14	1.43.0-1ubuntu0.4
libnpth0	1.6-3build2
libnsl2	1.3.0-2build2
libnsl2	1.3.0-2build2
libnsl-dev	1.3.0-2build2
libnss-nis	3.1-0ubuntu6
libnss-nisplus	1.3-0ubuntu6
libogg0	1.3.5-0ubuntu3
libogg0	1.3.5-0ubuntu3
libopengl0	1.4.0-1
libopus0	1.3.1-0.1build2
libp11-kit0	0.24.0-6build1
libp11-kit0	0.24.0-6build1
libp11-kit-dev	0.24.0-6build1
libpam0g	1.4.0-11ubuntu2.5
libpam-cap	1:2.44-1ubuntu0.22.04.3
libpam-modules	1.4.0-11ubuntu2.5
libpam-modules-bin	1.4.0-11ubuntu2.5
libpam-runtime	1.4.0-11ubuntu2.5
libpango-1.0-0	1.50.6+ds-2ubuntu1
libpango-1.0-0	1.50.6+ds-2ubuntu1
libpangocairo-1.0-0	1.50.6+ds-2ubuntu1
libpangocairo-1.0-0	1.50.6+ds-2ubuntu1
libpangoft2-1.0-0	1.50.6+ds-2ubuntu1
libpangoft2-1.0-0	1.50.6+ds-2ubuntu1
libpciaccess0	0.16-3
libpcre16-3	2:8.39-13ubuntu0.22.04.1
libpcre2-16-0	10.39-3ubuntu0.1
libpcre2-32-0	10.39-3ubuntu0.1
libpcre2-8-0	10.39-3ubuntu0.1
libpcre2-8-0	10.39-3ubuntu0.1
libpcre2-dev	10.39-3ubuntu0.1
libpcre2-posix3	10.39-3ubuntu0.1
libpcre32-3	2:8.39-13ubuntu0.22.04.1
libpcre3	2:8.39-13ubuntu0.22.04.1
libpcre3	2:8.39-13ubuntu0.22.04.1
libpcre3-dev	2:8.39-13ubuntu0.22.04.1
libpcrecpp0v5	2:8.39-13ubuntu0.22.04.1
libperl5.34	5.34.0-3ubuntu1.7
libpixman-1-0	0.40.0-1ubuntu0.22.04.1
libpixman-1-0	0.40.0-1ubuntu0.22.04.1
libpng16-16	1.6.37-3ubuntu0.5
libpng16-16	1.6.37-3ubuntu0.5
libpng-dev	1.6.37-3ubuntu0.5
libpng-tools	1.6.37-3ubuntu0.5
libpopt0	1.18-3build1
libprocps8	2:3.3.17-6ubuntu2.1
libpsl5	0.21.0-1.2build2
libpthread-stubs0-dev	0.4-1build2
libpulse0	1:15.99.1+dfsg1-1ubuntu2.2
libpulse-dev	1:15.99.1+dfsg1-1ubuntu2.2
libpulse-mainloop-glib0	1:15.99.1+dfsg1-1ubuntu2.2
libpython3.10	3.10.12-1~22.04.16
libpython3.10-dev	3.10.12-1~22.04.16
libpython3.10-minimal	3.10.12-1~22.04.16
libpython3.10-stdlib	3.10.12-1~22.04.16
libpython3-dev	3.10.6-1~22.04.1
libpython3-stdlib	3.10.6-1~22.04.1
libquadmath0	12.3.0-1ubuntu1~22.04.3
libreadline8	8.1.2-1
librsvg2-2	2.52.5+dfsg-3ubuntu0.2
librsvg2-2	2.52.5+dfsg-3ubuntu0.2
librsvg2-common	2.52.5+dfsg-3ubuntu0.2
librsvg2-common	2.52.5+dfsg-3ubuntu0.2
librtmp1	2.4+20151223.gitfa8646d.1-2build4
libsasl2-2	2.1.27+dfsg2-3ubuntu1.2
libsasl2-modules	2.1.27+dfsg2-3ubuntu1.2
libsasl2-modules-db	2.1.27+dfsg2-3ubuntu1.2
libsdl1.2debian	1.2.15+dfsg2-6
libsdl1.2-dev	1.2.15+dfsg2-6
libseccomp2	2.5.3-2ubuntu2
libselinux1	3.3-1build2
libselinux1	3.3-1build2
libselinux1-dev	3.3-1build2
libsemanage2	3.3-1build2
libsemanage-common	3.3-1build2
libsensors5	1:3.6.0-7ubuntu1
libsensors-config	1:3.6.0-7ubuntu1
libsepol2	3.3-1build1
libsepol-dev	3.3-1build1
libsigsegv2	2.13-1ubuntu3
libslang2	2.3.2-5build4
libslang2-dev	2.3.2-5build4
libsm6	2:1.2.3-1build2
libsmartcols1	2.37.2-4ubuntu3.4
libsndfile1	1.0.31-2ubuntu0.2
libsodium23	1.0.18-1ubuntu0.22.04.1
libsource-highlight4v5	3.1.9-4.1build2
libsource-highlight-common	3.1.9-4.1build2
libsqlite3-0	3.37.2-2ubuntu0.6
libss2	1.46.5-2ubuntu1.2
libssh-4	0.9.6-2ubuntu0.22.04.7
libssl3	3.0.2-0ubuntu1.25
